id,date,heure,fournisseur,montant,categorie,validateur
T0055,2025-05-21,14:30,Promoteur Immobilier Littoral,1218630,immobilier,Mme. Fotso K.
T0056,2025-12-11,13:00,CDE,2290530,energie,Mme. Fotso K.
T0057,2025-11-27,08:15,Total Energies CM,2040950,transport,M. Abena N.
T0058,2025-04-10,12:15,Cabinet Me Nkodo,1489830,services,M. Tchamba P.
T0059,2025-02-21,14:15,Maintenance Bureautique SARL,1052710,services,Mme. Etoa L.
T0060,2025-04-09,09:30,Holdings Afrique Centrale,682480,investissement,Mme. Etoa L.
T0061,2025-07-15,10:00,ENEO,243040,energie,M. Tchamba P.
T0062,2025-06-16,15:15,Total Energies CM,2017450,transport,Mme. Bekolo A.
T0063,2025-06-10,11:15,SABC Distribution,1798830,fournitures,M. Tchamba P.
T0064,2025-12-22,09:15,Holdings Afrique Centrale,1586950,investissement,Mme. Bekolo A.
T0065,2025-12-11,15:00,Agence Foncière du Centre,936300,immobilier,Mme. Fotso K.
T0066,2025-10-01,10:30,Orange Cameroun,205970,telecom,M. Abena N.
T0067,2025-03-04,11:00,Papeterie du Centre,2205230,fournitures,M. Nguema J.
T0068,2025-05-06,13:30,Holdings Afrique Centrale,876700,investissement,M. Nguema J.
T0069,2025-10-23,09:15,Agence Voyages Cameroun Express,1511330,transport,Mme. Fotso K.
T0070,2025-08-01,08:00,Taxi Union Douala,118570,transport,M. Tchamba P.
T0071,2025-09-29,11:45,CAMTEL,1733640,telecom,M. Tchamba P.
T0072,2025-08-21,17:00,Promoteur Immobilier Littoral,1282820,immobilier,Mme. Bekolo A.
T0073,2025-02-07,15:45,Imprimerie Centrale Yaoundé,2398100,fournitures,M. Nguema J.
T0074,2025-12-25,17:45,GLOBAL INVEST LTD,474240,investissement,Mme. Fotso K.
T0075,2025-07-25,15:00,ENEO,2379440,energie,Mme. Bekolo A.
T0076,2025-02-14,12:45,GLOBAL INVEST LTD,576290,investissement,Mme. Fotso K.
T0077,2025-07-16,16:30,Cabinet Me Nkodo,694660,services,M. Abena N.
T0078,2025-11-14,12:15,MTN Cameroun,15000,telecom,Mme. Etoa L.
T0079,2025-07-04,16:00,Promoteur Immobilier Littoral,464870,immobilier,Mme. Fotso K.
T0080,2025-07-16,09:45,Total Energies CM,705120,transport,Mme. Fotso K.
T0081,2025-11-18,15:15,Imprimerie Centrale Yaoundé,71900,fournitures,Mme. Etoa L.
T0082,2025-05-30,10:15,Holdings Afrique Centrale,911230,investissement,Mme. Bekolo A.
T0083,2025-09-01,09:45,Holdings Afrique Centrale,1866260,investissement,M. Abena N.
T0084,2025-07-15,14:15,Paie personnel — RH interne,1215930,salaires,Mme. Etoa L.
T0085,2025-10-29,14:30,Paie personnel — RH interne,1277950,salaires,M. Abena N.
T0086,2025-02-11,10:15,Maintenance Bureautique SARL,726650,services,M. Abena N.
T0087,2025-03-04,17:45,Nettoyage Propre-Tech,1634380,services,M. Tchamba P.
T0088,2025-11-05,11:45,Boulangerie Le Pain du Quartier,1297810,fournitures,Mme. Etoa L.
T0089,2025-11-12,12:15,ETS Mendong Fournitures,480850,fournitures,Mme. Bekolo A.
T0090,2025-01-20,14:30,SABC Distribution,637160,fournitures,M. Tchamba P.
T0091,2025-07-16,09:45,GLOBAL INVEST LTD,2173910,investissement,Mme. Bekolo A.
T0092,2025-11-26,08:15,Orange Cameroun,2307080,telecom,Mme. Fotso K.
T0093,2025-06-17,16:15,Paie personnel — RH interne,637510,salaires,Mme. Bekolo A.
T0094,2025-06-11,08:30,Papeterie du Centre,1705880,fournitures,Mme. Etoa L.
T0095,2025-05-05,12:15,Imprimerie Centrale Yaoundé,1368620,fournitures,M. Abena N.
T0096,2025-09-10,10:00,Nettoyage Propre-Tech,698450,services,M. Tchamba P.
T0097,2025-01-27,17:45,Total Energies CM,713360,transport,Mme. Bekolo A.
T0098,2025-03-25,09:15,Agence Foncière du Centre,648150,immobilier,Mme. Fotso K.
T0099,2025-07-07,08:45,SABC Distribution,1064890,fournitures,M. Nguema J.
T0100,2025-01-24,15:30,CAMTEL,1587420,telecom,Mme. Fotso K.
T0101,2025-05-07,14:15,Maintenance Bureautique SARL,1958230,services,M. Abena N.
T0102,2025-09-05,09:30,Agence Foncière du Centre,1049660,immobilier,Mme. Fotso K.
T0103,2025-06-12,12:30,Nettoyage Propre-Tech,547290,services,M. Nguema J.
T0104,2025-06-24,17:45,Taxi Union Douala,1346300,transport,Mme. Bekolo A.
T0105,2025-09-01,15:45,Agence Foncière du Centre,80950,immobilier,M. Tchamba P.
T0106,2025-09-24,11:00,MTN Cameroun,2473340,telecom,Mme. Etoa L.
T0107,2025-08-11,14:00,Paie personnel — RH interne,180250,salaires,M. Tchamba P.
T0108,2025-02-05,14:45,CAMTEL,1198500,telecom,Mme. Etoa L.
T0109,2025-01-07,10:00,SABC Distribution,686080,fournitures,M. Tchamba P.
T0110,2025-02-21,12:15,SNH Cameroun,1890000,energie,M. Tchamba P.
T0111,2025-07-23,14:15,CDE,1942510,energie,Mme. Etoa L.
T0112,2025-10-28,09:15,Taxi Union Douala,2288670,transport,Mme. Fotso K.
T0113,2025-11-26,12:45,Agence Voyages Cameroun Express,2206880,transport,Mme. Etoa L.
T0114,2025-03-05,13:45,Paie personnel — RH interne,1655610,salaires,Mme. Etoa L.
T0115,2025-09-12,15:30,Agence Foncière du Centre,2138730,immobilier,M. Abena N.
T0116,2025-07-14,09:30,Agence Foncière du Centre,1960180,immobilier,Mme. Fotso K.
T0117,2025-10-16,08:15,Holdings Afrique Centrale,406870,investissement,Mme. Bekolo A.
T0118,2025-10-03,10:15,Agence Foncière du Centre,2017950,immobilier,Mme. Fotso K.
T0119,2025-09-29,12:45,Paie personnel — RH interne,2086190,salaires,Mme. Etoa L.
T0120,2025-07-10,17:15,Total Energies CM,1737410,transport,Mme. Fotso K.
T0121,2025-10-27,11:00,Maintenance Bureautique SARL,2171850,services,M. Nguema J.
T0122,2025-07-23,15:30,Promoteur Immobilier Littoral,2460770,immobilier,Mme. Fotso K.
T0123,2025-09-24,17:00,Total Energies CM,538090,transport,M. Abena N.
T0124,2025-06-03,10:15,Promoteur Immobilier Littoral,2339540,immobilier,Mme. Etoa L.
T0125,2025-10-16,14:30,Papeterie du Centre,756000,fournitures,Mme. Fotso K.
T0126,2025-03-31,16:45,Nettoyage Propre-Tech,2343730,services,Mme. Fotso K.
T0127,2025-04-10,14:45,GLOBAL INVEST LTD,1692010,investissement,Mme. Etoa L.
T0128,2025-12-25,13:30,Promoteur Immobilier Littoral,1870990,immobilier,M. Abena N.
T0129,2025-11-12,12:00,Paie personnel — RH interne,306540,salaires,M. Tchamba P.
T0130,2025-10-27,16:15,ENEO,1624230,energie,M. Tchamba P.
T0131,2025-03-11,16:15,Maintenance Bureautique SARL,2436110,services,Mme. Etoa L.
T0132,2025-07-31,13:00,Agence Voyages Cameroun Express,1090540,transport,M. Tchamba P.
T0133,2025-06-26,14:30,Maintenance Bureautique SARL,1584700,services,Mme. Etoa L.
T0134,2025-10-20,11:15,Holdings Afrique Centrale,1002730,investissement,M. Tchamba P.
T0135,2025-01-30,16:00,GLOBAL INVEST LTD,771700,investissement,M. Nguema J.
T0136,2025-11-17,09:15,Promoteur Immobilier Littoral,1732840,immobilier,M. Tchamba P.
T0137,2025-10-23,16:15,Nettoyage Propre-Tech,649720,services,Mme. Etoa L.
T0138,2025-08-14,14:45,CAMTEL,1914080,telecom,M. Tchamba P.
T0139,2025-05-01,12:00,CAMTEL,873700,telecom,Mme. Etoa L.
T0140,2025-03-19,10:45,Orange Cameroun,2185420,telecom,M. Nguema J.
T0141,2025-09-02,10:30,Paie personnel — RH interne,727030,salaires,M. Nguema J.
T0142,2025-05-20,10:15,Paie personnel — RH interne,1130100,salaires,M. Abena N.
T0143,2025-10-17,15:30,Paie personnel — RH interne,208470,salaires,M. Abena N.
T0144,2025-01-29,16:15,Holdings Afrique Centrale,281180,investissement,Mme. Bekolo A.
T0145,2025-08-21,14:45,Agence Foncière du Centre,402200,immobilier,Mme. Etoa L.
T0146,2025-07-22,14:00,ENEO,701660,energie,M. Tchamba P.
T0147,2025-04-15,09:00,Boulangerie Le Pain du Quartier,119470,fournitures,M. Abena N.
T0148,2025-10-29,14:30,SABC Distribution,1771220,fournitures,Mme. Fotso K.
T0149,2025-06-12,14:45,GLOBAL INVEST LTD,1335860,investissement,M. Abena N.
T0150,2025-10-06,15:15,Maintenance Bureautique SARL,1105320,services,Mme. Bekolo A.
T0151,2025-04-16,09:15,Agence Foncière du Centre,1563540,immobilier,M. Abena N.
T0152,2025-07-15,14:15,Paie personnel — RH interne,724860,salaires,Mme. Fotso K.
T0153,2025-04-30,11:30,Agence Foncière du Centre,485970,immobilier,M. Abena N.
T0154,2025-10-08,14:30,Maintenance Bureautique SARL,1746940,services,Mme. Etoa L.
T0155,2025-07-24,15:45,Cabinet Me Nkodo,966310,services,M. Abena N.
T0156,2025-12-01,16:15,MTN Cameroun,1640330,telecom,Mme. Fotso K.
T0157,2025-06-19,13:15,Cabinet Me Nkodo,971020,services,M. Tchamba P.
T0158,2025-12-02,09:15,Boulangerie Le Pain du Quartier,1467280,fournitures,Mme. Bekolo A.
T0159,2025-01-09,16:30,Promoteur Immobilier Littoral,2214000,immobilier,M. Tchamba P.
T0160,2025-12-18,08:30,Total Energies CM,1739770,transport,M. Abena N.
T0161,2025-03-07,17:15,ENEO,670890,energie,M. Nguema J.
T0162,2025-12-03,08:15,Imprimerie Centrale Yaoundé,1241470,fournitures,M. Nguema J.
T0163,2025-02-24,10:30,GLOBAL INVEST LTD,46710,investissement,Mme. Etoa L.
T0164,2025-07-01,11:45,Imprimerie Centrale Yaoundé,712340,fournitures,Mme. Etoa L.
T0165,2025-02-24,10:45,Paie personnel — RH interne,2409590,salaires,M. Tchamba P.
T0166,2025-06-24,12:15,CAMTEL,361720,telecom,M. Tchamba P.
T0167,2025-05-15,17:15,Maintenance Bureautique SARL,1558690,services,Mme. Etoa L.
T0168,2025-04-07,10:30,Taxi Union Douala,900800,transport,Mme. Fotso K.
T0169,2025-06-16,11:00,Promoteur Immobilier Littoral,1347330,immobilier,M. Abena N.
T0170,2025-02-21,15:15,Paie personnel — RH interne,680620,salaires,M. Abena N.
T0171,2025-01-28,09:00,Agence Foncière du Centre,1971570,immobilier,M. Nguema J.
T0172,2025-07-10,10:00,Cabinet Me Nkodo,1639400,services,M. Tchamba P.
T0173,2025-04-09,09:00,Taxi Union Douala,2354570,transport,Mme. Etoa L.
T0174,2025-06-18,15:30,Paie personnel — RH interne,1781350,salaires,Mme. Bekolo A.
T0175,2025-10-27,15:15,Orange Cameroun,2380770,telecom,Mme. Bekolo A.
T0176,2025-11-28,16:45,Total Energies CM,988230,transport,Mme. Bekolo A.
T0177,2025-03-03,11:30,Cabinet Me Nkodo,506600,services,M. Nguema J.
T0178,2025-06-10,15:00,Promoteur Immobilier Littoral,1624050,immobilier,Mme. Bekolo A.
T0179,2025-02-24,08:00,Agence Foncière du Centre,1071270,immobilier,M. Nguema J.
T0180,2025-05-08,09:15,Orange Cameroun,481540,telecom,M. Abena N.
T0181,2025-04-08,09:45,Cabinet Me Nkodo,1010120,services,M. Nguema J.
T0182,2025-03-12,10:15,Paie personnel — RH interne,1585100,salaires,Mme. Fotso K.
T0183,2025-09-30,12:45,Nettoyage Propre-Tech,788730,services,M. Abena N.
T0184,2025-09-18,14:30,SABC Distribution,2271280,fournitures,Mme. Bekolo A.
T0185,2025-11-07,11:15,CDE,1178630,energie,M. Tchamba P.
T0186,2025-12-26,09:30,Agence Foncière du Centre,1687180,immobilier,Mme. Bekolo A.
T0187,2025-03-17,13:15,SABC Distribution,335500,fournitures,M. Abena N.
T0188,2025-03-14,11:45,CDE,2295740,energie,M. Abena N.
T0189,2025-07-07,10:30,Taxi Union Douala,222320,transport,Mme. Etoa L.
T0190,2025-04-24,11:45,Maintenance Bureautique SARL,1496370,services,M. Tchamba P.
T0191,2025-08-01,08:45,Paie personnel — RH interne,2069820,salaires,Mme. Fotso K.
T0192,2025-01-01,15:15,Paie personnel — RH interne,1946120,salaires,M. Abena N.
T0193,2025-08-21,09:15,Taxi Union Douala,2464940,transport,M. Abena N.
T0194,2025-04-15,13:30,Holdings Afrique Centrale,1705460,investissement,M. Nguema J.
T0195,2025-11-03,08:15,ENEO,195110,energie,Mme. Etoa L.
T0196,2025-11-10,17:30,SABC Distribution,2495800,fournitures,M. Nguema J.
T0197,2025-01-09,15:00,Promoteur Immobilier Littoral,36070,immobilier,Mme. Fotso K.
T0198,2025-07-24,13:45,Maintenance Bureautique SARL,2489720,services,Mme. Etoa L.
T0199,2025-11-18,16:45,Agence Foncière du Centre,1751180,immobilier,Mme. Etoa L.
T0200,2025-11-12,17:45,Holdings Afrique Centrale,813100,investissement,Mme. Bekolo A.
T0201,2025-06-04,12:15,Paie personnel — RH interne,2485410,salaires,Mme. Bekolo A.
T0202,2025-03-03,08:45,Nettoyage Propre-Tech,1774790,services,Mme. Fotso K.
T0203,2025-05-02,08:30,Orange Cameroun,1778990,telecom,M. Nguema J.
T0204,2025-02-28,11:00,ETS Mendong Fournitures,1352410,fournitures,Mme. Fotso K.
T0205,2025-01-10,15:00,MTN Cameroun,1297890,telecom,Mme. Etoa L.
T0206,2025-03-14,10:15,MTN Cameroun,185000,telecom,M. Tchamba P.
T0207,2025-08-05,08:00,SNH Cameroun,395230,energie,Mme. Fotso K.
T0208,2025-05-26,15:15,Total Energies CM,552390,transport,Mme. Fotso K.
T0209,2025-09-08,17:45,Agence Voyages Cameroun Express,746830,transport,Mme. Etoa L.
T0210,2025-05-30,15:45,Agence Voyages Cameroun Express,417570,transport,Mme. Bekolo A.
T0211,2025-03-13,08:15,GLOBAL INVEST LTD,120370,investissement,M. Nguema J.
T0212,2025-11-20,17:45,Papeterie du Centre,1083570,fournitures,M. Nguema J.
T0213,2025-01-20,11:00,CDE,1832180,energie,M. Abena N.
T0214,2025-04-03,17:15,Nettoyage Propre-Tech,2375020,services,Mme. Fotso K.
T0215,2025-12-08,15:15,Holdings Afrique Centrale,1342910,investissement,M. Nguema J.
T0216,2025-06-12,08:15,Boulangerie Le Pain du Quartier,1897560,fournitures,Mme. Fotso K.
T0217,2025-05-28,15:45,Agence Voyages Cameroun Express,547410,transport,Mme. Fotso K.
T0218,2025-05-02,15:45,SNH Cameroun,51310,energie,Mme. Etoa L.
T0219,2025-12-30,11:30,ETS Mendong Fournitures,2144160,fournitures,M. Tchamba P.
T0220,2025-09-08,14:15,Nettoyage Propre-Tech,88550,services,Mme. Bekolo A.
T0221,2025-12-17,15:45,Paie personnel — RH interne,764300,salaires,Mme. Fotso K.
T0222,2025-06-09,17:30,Imprimerie Centrale Yaoundé,1854550,fournitures,Mme. Fotso K.
T0223,2025-07-18,16:45,ENEO,2274330,energie,M. Tchamba P.
T0224,2025-01-22,13:45,SNH Cameroun,1527700,energie,M. Nguema J.
T0225,2025-04-16,08:30,ETS Mendong Fournitures,2192870,fournitures,M. Nguema J.
T0226,2025-05-22,16:45,Papeterie du Centre,2138430,fournitures,M. Abena N.
T0227,2025-06-27,08:30,CAMTEL,22770,telecom,Mme. Bekolo A.
T0228,2025-03-25,10:45,MTN Cameroun,779710,telecom,Mme. Fotso K.
T0229,2025-09-25,09:00,Orange Cameroun,1552700,telecom,Mme. Fotso K.
T0230,2025-05-06,16:45,Promoteur Immobilier Littoral,2334980,immobilier,Mme. Fotso K.
T0231,2025-02-17,16:15,Holdings Afrique Centrale,223740,investissement,Mme. Etoa L.
T0232,2025-12-12,16:30,Holdings Afrique Centrale,1748270,investissement,M. Abena N.
T0233,2025-11-12,15:15,Cabinet Me Nkodo,1814450,services,Mme. Fotso K.
T0234,2025-02-18,17:30,Boulangerie Le Pain du Quartier,1607940,fournitures,Mme. Bekolo A.
T0235,2025-05-06,16:45,Paie personnel — RH interne,2287620,salaires,M. Abena N.
T0236,2025-10-31,15:30,Maintenance Bureautique SARL,198250,services,Mme. Etoa L.
T0237,2025-01-24,17:15,Promoteur Immobilier Littoral,2206010,immobilier,Mme. Fotso K.
T0238,2025-03-17,15:00,Agence Foncière du Centre,2042850,immobilier,Mme. Etoa L.
T0239,2025-03-17,15:00,Holdings Afrique Centrale,512560,investissement,Mme. Etoa L.
T0240,2025-11-05,14:00,Paie personnel — RH interne,508780,salaires,M. Nguema J.
T0241,2025-11-13,13:30,SNH Cameroun,1959790,energie,Mme. Fotso K.
T0242,2025-02-14,08:00,Nettoyage Propre-Tech,1718820,services,Mme. Fotso K.
T0243,2025-04-21,15:30,ETS Mendong Fournitures,2434000,fournitures,M. Nguema J.
T0244,2025-03-26,13:45,Paie personnel — RH interne,634690,salaires,Mme. Bekolo A.
T0245,2025-04-02,17:45,CDE,1469190,energie,M. Tchamba P.
T0246,2025-02-12,09:15,Agence Voyages Cameroun Express,2218460,transport,M. Abena N.
T0247,2025-04-01,16:30,CAMTEL,687030,telecom,Mme. Etoa L.
T0248,2025-06-04,09:00,Holdings Afrique Centrale,2214420,investissement,Mme. Etoa L.
T0249,2025-10-29,17:00,Papeterie du Centre,447760,fournitures,M. Abena N.
T0250,2025-07-14,14:15,Boulangerie Le Pain du Quartier,2118330,fournitures,Mme. Etoa L.
T0251,2025-03-13,15:30,Promoteur Immobilier Littoral,1026060,immobilier,M. Tchamba P.
T0252,2025-05-30,17:15,Cabinet Me Nkodo,44610,services,M. Tchamba P.
T0253,2025-04-23,12:00,Agence Foncière du Centre,1745400,immobilier,Mme. Fotso K.
T0254,2025-12-12,13:00,Orange Cameroun,467920,telecom,M. Tchamba P.
T0255,2025-12-15,14:30,Maintenance Bureautique SARL,233640,services,M. Tchamba P.
T0256,2025-12-17,13:45,Total Energies CM,556040,transport,M. Tchamba P.
T0257,2025-02-17,14:00,Paie personnel — RH interne,1488670,salaires,M. Tchamba P.
T0258,2025-04-08,11:45,Promoteur Immobilier Littoral,1545250,immobilier,M. Nguema J.
T0259,2025-10-20,14:15,Paie personnel — RH interne,365360,salaires,M. Tchamba P.
T0260,2025-08-01,14:30,Taxi Union Douala,2236770,transport,Mme. Etoa L.
T0261,2025-02-27,13:45,CDE,1907660,energie,Mme. Fotso K.
T0262,2025-11-26,12:30,ETS Mendong Fournitures,244610,fournitures,M. Abena N.
T0263,2025-12-23,10:30,SABC Distribution,1220780,fournitures,Mme. Bekolo A.
T0264,2025-08-25,10:30,Boulangerie Le Pain du Quartier,678540,fournitures,M. Tchamba P.
T0265,2025-09-08,08:00,Orange Cameroun,1504990,telecom,M. Tchamba P.
T0266,2025-10-16,17:45,Holdings Afrique Centrale,386740,investissement,Mme. Etoa L.
T0267,2025-06-27,14:15,Agence Voyages Cameroun Express,2305130,transport,M. Nguema J.
T0268,2025-04-18,17:30,Taxi Union Douala,1433430,transport,Mme. Bekolo A.
T0269,2025-12-03,11:15,Taxi Union Douala,2304670,transport,M. Nguema J.
T0270,2025-09-25,13:15,Imprimerie Centrale Yaoundé,1257290,fournitures,Mme. Bekolo A.
T0271,2025-05-28,10:00,MTN Cameroun,557830,telecom,Mme. Fotso K.
T0272,2025-05-14,13:45,Agence Voyages Cameroun Express,1349250,transport,Mme. Etoa L.
T0273,2025-12-19,13:45,Holdings Afrique Centrale,1024370,investissement,Mme. Etoa L.
T0274,2025-10-03,08:00,Agence Voyages Cameroun Express,895420,transport,M. Nguema J.
T0275,2025-07-25,11:30,SABC Distribution,1300890,fournitures,M. Abena N.
T0276,2025-03-05,10:45,GLOBAL INVEST LTD,1879000,investissement,Mme. Etoa L.
T0277,2025-10-16,16:15,Agence Foncière du Centre,1553840,immobilier,M. Nguema J.
T0278,2025-06-20,08:00,Promoteur Immobilier Littoral,1782250,immobilier,Mme. Etoa L.
T0279,2025-12-01,16:00,Maintenance Bureautique SARL,2284060,services,Mme. Bekolo A.
T0280,2025-04-04,14:00,GLOBAL INVEST LTD,355260,investissement,Mme. Bekolo A.
T0281,2025-05-14,09:30,Promoteur Immobilier Littoral,191300,immobilier,Mme. Etoa L.
T0282,2025-12-10,16:00,Total Energies CM,1922810,transport,Mme. Fotso K.
T0283,2025-05-14,13:00,GLOBAL INVEST LTD,2166850,investissement,Mme. Bekolo A.
T0284,2025-10-28,09:15,Agence Foncière du Centre,1743690,immobilier,Mme. Etoa L.
T0285,2025-11-19,16:00,SNH Cameroun,1998410,energie,Mme. Bekolo A.
T0286,2025-05-21,09:45,Paie personnel — RH interne,1946540,salaires,Mme. Etoa L.
T0287,2025-12-24,10:15,Agence Foncière du Centre,2403710,immobilier,M. Abena N.
T0288,2025-06-13,12:00,MTN Cameroun,316500,telecom,Mme. Fotso K.
T0289,2025-10-07,15:15,ETS Mendong Fournitures,2236570,fournitures,M. Abena N.
T0290,2025-05-27,15:15,Agence Foncière du Centre,1743010,immobilier,M. Nguema J.
T0291,2025-03-25,15:45,Holdings Afrique Centrale,494160,investissement,Mme. Etoa L.
T0292,2025-12-26,16:45,Orange Cameroun,916590,telecom,M. Nguema J.
T0293,2025-12-11,15:15,CDE,1252470,energie,M. Tchamba P.
T0294,2025-12-29,13:15,Paie personnel — RH interne,768330,salaires,M. Abena N.
T0295,2025-06-23,08:30,CAMTEL,189150,telecom,M. Abena N.
T0296,2025-04-01,08:00,Paie personnel — RH interne,1908790,salaires,Mme. Fotso K.
T0297,2025-01-17,15:30,Agence Voyages Cameroun Express,1445820,transport,M. Abena N.
T0298,2025-03-28,08:30,Total Energies CM,995700,transport,M. Abena N.
T0299,2025-04-08,14:30,Paie personnel — RH interne,1166040,salaires,Mme. Fotso K.
T0300,2025-03-12,14:00,ENEO,1405580,energie,Mme. Fotso K.
T0301,2025-10-30,09:15,Paie personnel — RH interne,1562940,salaires,Mme. Fotso K.
T0302,2025-12-26,15:00,GLOBAL INVEST LTD,1154650,investissement,M. Abena N.
T0303,2025-08-05,09:15,Total Energies CM,817680,transport,M. Tchamba P.
T0304,2025-08-15,13:00,Papeterie du Centre,1980210,fournitures,M. Abena N.
T0305,2025-03-12,11:45,Agence Foncière du Centre,1729620,immobilier,Mme. Etoa L.
T0306,2025-05-28,11:45,Agence Voyages Cameroun Express,1312910,transport,M. Tchamba P.
T0307,2025-10-30,10:00,Promoteur Immobilier Littoral,1721450,immobilier,M. Abena N.
T0308,2025-05-07,17:15,Boulangerie Le Pain du Quartier,61190,fournitures,M. Abena N.
T0309,2025-11-20,09:45,Paie personnel — RH interne,704100,salaires,M. Abena N.
T0310,2025-12-29,10:00,Taxi Union Douala,910170,transport,Mme. Etoa L.
T0311,2025-06-05,17:15,Maintenance Bureautique SARL,1913770,services,M. Nguema J.
T0312,2025-03-18,10:45,Orange Cameroun,590660,telecom,M. Nguema J.
T0313,2025-08-22,16:30,Nettoyage Propre-Tech,1795090,services,Mme. Bekolo A.
T0314,2025-07-09,13:15,Nettoyage Propre-Tech,2178000,services,M. Nguema J.
T0315,2025-08-11,10:30,GLOBAL INVEST LTD,2221930,investissement,Mme. Etoa L.
